,Original,Summary
0,Mantap,Mantap
1,Reliable apps online shopping,Reliable apps online shopping
2,Nice,Nice
3,good,good
4,Cepet,Cepet
5,Easy access easy use complete wt need trustworthy seller,Easy access easy use complete wt need trustworthy seller
6,Aplikasi belanja tokopedia mudah belanja online menyenangkan,Aplikasi belanja tokopedia mudah belanja online menyenangkan
7,Udah gak keitung barang udah beli,Udah gak keitung barang udah beli
8,Great job Tokopedia team,Great job Tokopedia team
9,mantap,mantap
10,good,good
11,Best platform olshop,Best platform olshop
12,Gooood,Gooood
13,Puas,Puas
14,useful,useful
15,Situ jual beli online terbaik,Situ jual beli online terbaik
16,Keep,Keep
17,Mudah2an praktisMenolong,Mudah2an praktisMenolong
18,mantap tokped uiuxnya enak pandang hahahay,mantap tokped uiuxnya enak pandang hahahay
19,Biaya admin mahal banget IDR2000,Biaya admin mahal banget IDR2000
20,很好啦,很好啦
21,Semoga amanah,Semoga amanah
22,marketplace suka belanja tokped tampilannya simple ga norak bnyk iklan,marketplace suka belanja tokped tampilannya simple ga norak bnyk iklan
23,Powerfull apps,Powerfull apps
24,Apps toped tingkatkan,Apps toped tingkatkan
25,Awesome 3,Awesome 3
26,best apps shop,best apps shop
27,Usefull aps makes life better,Usefull aps makes life better
28,nan,nan
29,ok,ok
30,Love UI n UX,Love UI n UX
31,5 star,5 star
32,nan,nan
33,great app,great app
34,mudah penjual harga bersaing,mudah penjual harga bersaing
35,product coolll,product coolll
36,tokonya mudah murah muantep qt,tokonya mudah murah muantep qt
37,Keren banget,Keren banget
38,membantu era pandemi gini belanja dirumah jd mudah hemat cashback,membantu era pandemi gini belanja dirumah jd mudah hemat cashback
39,19 Mei Beli Barang 23 Mei Batas pengiriman barang Suruh tunggu lg diinvestigasi 27 Mei Barang dinyatakan hilang Suruh tunggu asuransi verifikasi klaim penjual 31 Mei Nihil kabar Untung barangnya ngga mahal iya prosesnya Berbelit belit kaya urusan pemerintah,Suruh tunggu lg diinvestigasi 27 Mei Barang dinyatakan hilang
40,Cepat,Cepat
41,Aplikasi cerdas membantu penggunanya Terima kasih Tokopedia,Terima kasih Tokopedia
42,Nice app,Nice app
43,Membantu memenuhi kebutuhan,Membantu memenuhi kebutuhan
44,Pembayaran mudah terpercaya,Pembayaran mudah terpercaya
45,Good,Good
46,belanja OL,belanja OL
47,respon lambat pembayaran berhasil diganti,respon lambat pembayaran berhasil diganti
48,fitur cod berguna Toped beralih TiktokShop,fitur cod berguna Toped beralih TiktokShop
49,bangett,bangett
50,Lengkap simpel,Lengkap simpel
51,Mantabbbb joss tokopedia maju sukses,Mantabbbb joss tokopedia maju sukses
52,Great service,Great service
53,Kebanyakan potongannya Jualan 700rb potongan 32rb,Jualan 700rb potongan 32rb
54,Pelayanan prima,Pelayanan prima
55,lazy use another apps shoppe tiktok shop,lazy use another apps shoppe tiktok shop
56,best,best
57,Termakasih tokopedia,Termakasih tokopedia
58,good,nan
59,MantuL,MantuL
60,Mantul,Mantul
61,Tokopedia pusat belanja line Indonesia membantu barang harga murah toko konvensional Langsung membantu seller buyer transaksi terbaik,Langsung membantu seller buyer transaksi terbaik
62,blanja onlin yg memuaskan hati produk yg ditawarkan sesuai tdk khawati ketipu,blanja onlin yg memuaskan hati produk yg ditawarkan sesuai tdk khawati ketipu
63,good apps easy use,good apps easy use
64,nuce,nuce
65,Ok,Ok
66,Alhamdulilah gusti,Alhamdulilah gusti
67,Good aplikasi,Good aplikasi
68,alat serba canggih Penggunaan alat yg membantu melaksanakan kegiatan transaksi keuangan jual beli utk mendukung kebutuhan Mamang moto cepat pepatah Tokopedia yg tercepat aplikasi yg Selamat utk Tokopedia maju dng inovasiinivasimu,Tokopedia yg tercepat aplikasi yg
69,apps easy use lot feature make customer aware targeted product,apps easy use lot feature make customer aware targeted product
70,Pembayaran mudah kilat n membantu,Pembayaran mudah kilat n membantu
71,Proses simple semoga barangnya bagus sesuai rekomendasi dateng,Proses simple semoga barangnya bagus sesuai rekomendasi dateng
72,promo nya mantulll,promo nya mantulll
73,Top,Top
74,Terimakasih membantu,Terimakasih membantu
75,Applikasi aja Murah Seller cepat respond Pengiriman Cepat pembayaran mudah pilihan Mantap pokoknya,nan
76,Pedoman berbelanja digital terbaik dapatkan tokopedia,Pedoman berbelanja digital terbaik dapatkan tokopedia
77,found si good buy something like book food lot,found si good buy something like book food lot
78,puasss,puasss
79,yg manfaatkan kupon cashback harap berhati2 pembatalan cashback melanggar gak tau melanggar apanya keputusan merugikan pembeli,yg manfaatkan kupon cashback harap berhati2 pembatalan cashback melanggar gak tau melanggar apanya keputusan merugikan pembeli
80,seller minggu nggak kirim barang tetep 24 jam Terima kasih kaka,barang tetep 24 jam
81,Keren lengkap Terpercaya,Terpercaya
82,Bagus,Bagus
83,Thanks making life lot easier,Thanks making life lot easier
84,mudah krn makusan pin gopay gk ribet buka aplikasi kobile banking,mudah krn makusan pin gopay gk ribet buka aplikasi kobile banking
85,Minthip,Minthip
86,update perubahan barang terjual fiktif,update perubahan barang terjual fiktif
87,Bagus keren aplikasinya makasih tokped nya aplikasi terbantu,Bagus keren aplikasinya makasih tokped nya aplikasi terbantu
88,merekomendasi,merekomendasi
89,Best Aplication,Best Aplication
90,using apps 4yr getting better everytime,using apps 4yr getting better everytime
91,Sea,Sea
92,pokoknya mantap ngabisin uang,pokoknya mantap ngabisin uang
93,sukadehh,sukadehh
94,Keren,Keren
95,mudah penggunaannya,mudah penggunaannya
96,Best ecommerce comfort,Best ecommerce comfort
97,biayanya,biayanya
98,Gratis ongkirnya beneran kalo event Gak tuh ditanggung syaratnya,Gak tuh ditanggung syaratnya
99,mudah memudahkan,mudah memudahkan
100,Pelayanan oke,Pelayanan oke
101,suka app bintang 5,suka app bintang 5
102,application update easy use,application update easy use
103,Satisfied apps customer care fast response,Satisfied apps customer care fast response
104,Puasss,Puasss
105,Love shop,Love shop
106,keren,keren
107,toko ijo andalan,toko ijo andalan
108,keluhan selesaikan tokopedia,keluhan selesaikan tokopedia
109,barang yg ditemukan,barang yg ditemukan
110,Gak pake ribet,Gak pake ribet
111,Banyakin tokonya lengkapin tokonya ka biar byk pilihan,Banyakin tokonya lengkapin tokonya ka biar byk pilihan
112,ongkirnya 1 toko,ongkirnya 1 toko
113,Pengembalian dana sebisa dipercepat dipakai belanja konsemen,Pengembalian dana sebisa dipercepat dipakai belanja konsemen
114,Good Easy payment method,Good Easy payment method
115,best sebentr masuk platinum,best sebentr masuk platinum
116,Mantap pertahankan pengiriman yg cepat kendala pengiriman aja melempar barang kiriman carport alhasil tu barang dicabik anjing topet mantul,Mantap pertahankan pengiriman yg cepat kendala pengiriman aja melempar barang kiriman carport alhasil tu barang dicabik anjing topet mantul
117,pakai Toko Ijo belanja Online,pakai Toko Ijo belanja Online
118,Aplikasi yg hp pakai gopay later mantap,Aplikasi yg hp pakai gopay later mantap
119,nan,nan
120,compare UI indonesian online retailer apps,compare UI indonesian online retailer apps
121,Gandooss,Gandooss
