,Original,Summary,Sentiment
0,"Upon opening the watch page, the first things I saw were extremely graphic in nature and clearly went against the “community guidelines” yet the content had been running live for hours. Reports do nothing. It disturbs me to think about how children could be stumbling upon stuff like this in the app, it’s terrible. Facebook provides nothing but bad things and wastes of time in that section of their app. The marketplace may be the only half-useful feature.","It disturbs me to think about how children could be stumbling upon stuff like this in the app, it’s terrible.",-1
1,"My account has been hacked and my information has been changed, I can’t contact Facebook to get my account back. I am incredibly upset about this. You need to create a sure way to be contacted when there is an issue. I’m completely done with Facebook now because 16 yrs of my life is now gone and so is my phone possibly along with other accounts that are linked with Facebook. I am incredibly upset and just over it with you. 😡😡😡",You need to create a sure way to be contacted when there is an issue.,-1
2,I think that my profile has been blocked from making an avatar on Facebook. It always says to update your app or your phone doesn’t allow this option and I’ve used three different phones with the same response. I need some answers and a fix to this issue please.,I need some answers and a fix to this issue please.,-1
3,"Long-time user who no longer posts on the platform, I was recently “suspended” from my account because my “behavior violated community standard rules”. Considering I don’t have any behavior to breaching rules, I found this questionable. To further this, when I contacted support for an explanation (I thought it possible that someone hacked my account and spammed my friend list, etc.), the support rep doubled down about my behavior violating community standard rules, and shared the community standard rules, but refused to disclose what exactly I (or my profile) did that warranted a suspension. It’d be funny, if it wasn’t so sad. The lack of transparency is alarming, and even if I were to regain access to my account, I likely will not be using it ever again.","To further this, when I contacted support for an explanation (I thought it possible that someone hacked my account and spammed my friend list, etc.",-1
4,"I did a experiment with posting liberal opinions and conservative opinions! No shocker that if you post something bashing a conservative view point nothing happens, but if post an opinion against a liberal viewpoint then immediately you get locked out because it goes against community standards?🤷🏻‍♂️ they allow the worst videos of people being hurt or assaulted and as soon as you comment against the person ( typically black) then they stop you! Isn’t this what Hitler did so many years ago? 🤷🏻‍♂️",Isn’t this what Hitler did so many years ago?,-1
5,"How about making it to where when someone I’m not connected to comments on one of my public posts, you allow me to see that comment rather than taking me to my privacy settings? Right now I have to scroll through all my posts to find my public ones just to see if some dumb troll has left a comment. Filtering by privacy type does absolutely nothing, and viewing as someone who can only see your public posts doesn’t allow you to look at comments.","Filtering by privacy type does absolutely nothing, and viewing as someone who can only see your public posts doesn’t allow you to look at comments.",0
6,"So annoyed and over Facebook. It’s so boring and actually pretty annoying. Market place is ridiculous anymore, constant bombardment from instgram ads, can’t contact anyone if anything messes up, and I mean it’s pretty boring and dead anymore. My fb got hacked, did EVERYTHING fb said to get it back, but because there’s NO ONE TO TALK TO I lost EVERYTHING. Because fb has such terrible security they took my account like nothing. I absolutely HATE Facebook. Such crap. No amount of updates will fix this. There’s a huge reason it’s rated under 3 stars and was at 1  recently.",I absolutely HATE Facebook.,-1
7,"The ratings have dropped to 2.3, I see NO positive reviews from the last 6 months. 
Every update only makes this app worse, and multiplies the ads by a few hundred. 
You’re so concerned about “Community Standards” of what is posted but yet 90% of the ads shown are scam/fake and the suggested ads that you can’t get rid of. What’s the point of having preferences and options of hiding ads if this app continues to show the ads more or the preferences are reset? Then there are way too many fake accounts posting fake/scam things and when they’re reported the response is “This account or post doesn’t go against our community standards. 
Hire some REAL people to work instead of the programed Bots.","Every update only makes this app worse, and multiplies the ads by a few hundred.",-1
8,"I’m trying to figure out wth I have to enter my card information to download this app now. Testing it out, I put in a card number that did not have much on it and it declined it due to not having $5.34 on the card.
I download the app and it wants card information and I cannot understand why?

I have never had to pay to download the fb app.",I download the app and it wants card information and I cannot understand why?,-1
9,"Facebook will restrict you account for saying; good you got bit, after an animal abuser repeatedly kicked a dog right in the face ; they allow the videos to stay online saying they don’t go against their community standards BUT if you say good you got bit your account gets restricted;Facebook promotes animal cruelty because no matter how many times you report it they still say it didn’t go against their community standards I think China owns Facebook that’s why there is no more free speech on Facebook yeh ok","Facebook will restrict you account for saying; good you got bit, after an animal abuser repeatedly kicked a dog right in the face ; they allow the videos to stay online saying they don’t go against their community standards BUT if you say good you got bit your account gets restricted;Facebook promotes animal cruelty because no matter how many times you report it they still say it didn’t go against their community standards I think China owns Facebook that’s why there is no more free speech on Facebook yeh ok",-1
10,"There should be an option to see memories on our feed. I don’t want to keep cringing at anything I posted years before. 

Y’all are truly garbage. There’s no way I reported a clearly racist comment and whoever was responsible for taking down comments like that says it doesn’t go against Community Standards. Probably part of why y’all are down to two stars now.",Probably part of why y’all are down to two stars now.,-1
11,I was just recently hacked on my account and there is no way to report it because no matter what I try to do I still have to get into my account to even try and do anything to report it. My email and phone number were changed and I can’t get in at all to do anything!!!!,My email and phone number were changed and I can’t get in at all to do anything!!!,-1
12,I’ve be logged of my account because of usual activity on my account. Which someone did send a message to about 40 friends of mine in FB messenger. So I changed my password logged back in. Was on it for about day and half which today got blocked out. For me to get back FB is telling me I have to send some kind of photo ID. Well why the heck would I do that when it sounds like someone as hacked to my account.,Was on it for about day and half which today got blocked out.,-1
13,I got a big complaint about much older guys sending me messages on Facebook and will not leave me alone even though I told them that I’m not interested in them. One of them still messages me after I told him that I don’t like him and I don’t want to be his friend at all and he will not take the hint . I reported him for harassment . Constantly messaging someone after they tell you that they are not interested in you is considered harassment . I wish I could have more options when it comes to reporting people .,One of them still messages me after I told him that I don’t like him and I don’t want to be his friend at all and he will not take the hint .,-1
14,"I have had a Facebook account ever since I was 6. I can no longer get into said Facebook account because it was hacked. Facebook support is basically nothing, and you can’t get a response on the phone. I’m currently waiting on a response through email, however I am doubtful even that will work. I have resorted to setting up an all new account, and now I can’t even friend half of my old friends because of some Facebook stuff. Not to mention that I can’t join some groups I used to be a part of.",I can no longer get into said Facebook account because it was hacked.,-1
15,"I am restricted from my Facebook over commenting under a photo of 3 girls that look underage wearing VERY revealing see through shirts to clearly show their chests which has 53,000 shares and 1000’s of disturbing comments and I commented under one and all I said was that individual was a trash person for saying something provocative about the girls this is wrong on SOOOOO many levels I’ve reported the photo at least 3-4 different times over the past couple hours and nothing has happened but one comment from me and almost immediately I was Facebook jailed this is absolutely disgusting DO BETTER","I am restricted from my Facebook over commenting under a photo of 3 girls that look underage wearing VERY revealing see through shirts to clearly show their chests which has 53,000 shares and 1000’s of disturbing comments and I commented under one and all I said was that individual was a trash person for saying something provocative about the girls this is wrong on SOOOOO many levels I’ve reported the photo at least 3-4 different times over the past couple hours and nothing has happened but one comment from me and almost immediately I was Facebook jailed this is absolutely disgusting DO BETTER",-1
16,"Facebook is crazy racist against white people. I have seen so many times where people talk about white genocide and even if the comment is reported it never gets removed , yet I can get banned for calling something stupid. Also got banned for promoting violence by talking about a upcoming event on a actual MMA page dedicated to fighting. It’s a complete joke.",It’s a complete joke.,-1
17,"My entire feed is over 95% suggested pages and suggested posts. NOBODY WANTS THESE, especially the “suggested page” that comes up every 2 posts. I block every single one of them but they are endless. This was the last straw for me, just deleted the app since it is not over 95% advertisements. THERE IS BARELY ANY REAL CONTENT, JUST ADS. Even tiktok is better.

Also, Meta completely ruined FB marketplace by removing the date the listing was posted, so we do not know if we’re responding to an 8 month old or a new listing. 

I can’t believe people are actually being PAID to make these changes.",Even tiktok is better.,0
18,These people want to upload my iD or Credit Card to “unlock” my account even though I haven’t used it in 15 years they see me attempting to today as “suspicious activity”. With all the recent hacks and data leaks the company is plagued with I wouldn’t trust them watching my dog let alone my personal information. They want me to speedrun identity theft at this point.,With all the recent hacks and data leaks the company is plagued with I wouldn’t trust them watching my dog let alone my personal information.,-1
19,"Can’t even get into my account, Facebook tells me they are sending me messages to get into but they’re clearly not as I’ve triple check my phone number and it’s still not working, also they banned my original account for no reason the app is so glitchy even when you get into it I don’t understand how some apps stil yus your Facebook login to loging to that it’s awful","Can’t even get into my account, Facebook tells me they are sending me messages to get into but they’re clearly not as I’ve triple check my phone number and it’s still not working, also they banned my original account for no reason the app is so glitchy even when you get into it I don’t understand how some apps stil yus your Facebook login to loging to that it’s awful",-1
20,"Marketplace is an absolute joke. It’s broken every other week, or for MONTHS at a time. Constant (daily) customer service requests lead absolutely nowhere and are completely ignored. The second you use one single filter on marketplace, 0 listings appear. Zero common sense, absolutely no way to request any sort of customer service. What a joke.

90% of posts that I see are ads, or from about 4 whole different people at most. This is the worst social media app by far.",What a joke.,-1
21,"I left FB for several years but just recently came back to it to view events for an upcoming trip to Ireland. 
It’s installed on my Mac, my iPhone and my iPad. It’s very frustrating to take so much time to personalize it on one platform (Mac) only to see that the settings I made are not cross-platform. When this trip is over I will completely deactivate my account because it serves no other use to me.",When this trip is over I will completely deactivate my account because it serves no other use to me.,0
22,"First it’s the non stop ads, then it’s suggested pages. It’s suggested pages that I have absolutely ZERO INTEREST IN. I have no option to remove them and I’m REALLY getting sick of seeing the same ones every single time clogging up my feed. Just when you think it can’t get any worse they do this. I really hate facebook and would delete it if it wasn’t for family on there.",It’s suggested pages that I have absolutely ZERO INTEREST IN.,-1
23,"It’s decent however it has cluttered spaces and many features not needed, next the home page personalization is kinda bad, I followed multiple people and it shows only 1 person on my feed a lot of times and nothing else.","It’s decent however it has cluttered spaces and many features not needed, next the home page personalization is kinda bad, I followed multiple people and it shows only 1 person on my feed a lot of times and nothing else.",0
24,"I’ve been on Facebook since it came out and was for college students. It’s the way I stay in contact with some family but as of late, the app is extremely forceful, bloated and shows more ads and sponsored posts than anything. I have to go to my friends pages to see if they’re posted. It’s also a problem that no matter what settings I change, Facebook interrupts my Apple Music. I’ve decided to delete Facebook and IG from my phone for this reason. I might keep it on my secondary iPad but I’m considering it. At least I get entertainment and knowledge from TikTok and I know it’s supposed to interrupt my music.",I have to go to my friends pages to see if they’re posted.,-1
25,This app is horrible the only thing good about it is the marketplace but honestly Facebook so just close down this app and make a marketplace app on the App Store. But I don’t like to use Facebook because I see megastructure videos of people getting stabbed girls getting exposed with sec videos that are nasty there’s lots of cyber bullying and most of all there’s not a lot of good feed,But I don’t like to use Facebook because I see megastructure videos of people getting stabbed girls getting exposed with sec videos that are nasty there’s lots of cyber bullying and most of all there’s not a lot of good feed,-1
26,"It seems that Facebook is going more downhill  . They allow scammers, and especially on the military pages, and say they don’t “violate community standards “. They also allow hate speech but won’t go after the bullies .. and extort money from pages , especially disabled awareness pages, by not showing posts unless the page owner pays money. They also hide advocacy pages . 
It’s getting worse and worse",They also hide advocacy pages .,-1
27,"I am having issues with many different features of the app, and I have made several probably upwards of 10 reports about the issues, and they have done nothing to fix it. Honestly, I’m at the point where I just want to delete my Facebook altogether.","Honestly, I’m at the point where I just want to delete my Facebook altogether.",-1
28,"Everyone is on Facebook so it is hard to avoid, especially if you manage your employer’s page. But beware! Facebook allows people to steal your identity and use it freely on their platform. You can report it and they will tell you that it isn’t fake. They tell YOU that the person impersonating you is you. Scary. 

Be forewarned and use Facebook at your own risk.",Facebook allows people to steal your identity and use it freely on their platform.,-1
29,The app is just fine on my smartphone but is super buggy on my iPad. The notification icon will no longer alert me to new comments. Shared media on Messenger won’t open so I have to resort to checking it on my iPhone.  Tried deleting and re-installing the app but still doesn’t fix the issue.,Shared media on Messenger won’t open so I have to resort to checking it on my iPhone.,0
30,"You can’t enjoy Facebook without being restricted for small things, like sharing post, liking post or receiving too many likes.  I could understand being restricted/blocked for bullying etc. but being restricted from using a platform for exactly what it was created for is crazy. I miss the time when you could be yourself on Facebook/Instagram. When you can share as much as you wanted and if you get tired of seeing someone you snooze them for 30 days. These new rules etc. doesn’t even target the real problem or bullies. It’s like Facebook became the bullies. Criticizing people for every little thing.",When you can share as much as you wanted and if you get tired of seeing someone you snooze them for 30 days.,-1
31,"I actually started laughing while making this review, it will most likely be lost within all the other negative and horrible comments but it’s worth a shot. I was trying to recover my account and it half worked. I logged into else’s account which gave me access to all their personal information. This includes me already changing their password as-well. I was going to rant about how I can’t get back into my account no matter how hard I try but now I know where this person works, lives, how old they are, and marital status. And phone number too! #BestDayEver. LOL I CANT EVEN LOG OUT EITHER! this is so funny. facebook is such a failed social media platform I love it.",I logged into else’s account which gave me access to all their personal information.,-1
32,Nothing but ads and “suggested for you” ads.  I can’t even see the posts from actual friends due to constant ads in my feed.  Cut the crap “Meta” or whatever you call yourself now.  This is a garbage app that I only have to keep in touch with friends and family.  Not ads and “suggested” pages.  For every post from my actual friends there are 4 to 5 ads I have to see.  Do you need money that bad “Meta.”  Hot garbage.,Not ads and “suggested” pages.,0
33,"Meta is THE most unhelpful social media company. I tried logging into my FB account which I haven’t touched in years due to it no longer being a relevant or fun platform. Wanted to download a few older pics I had on there but was unable to log in. Tried to reset the password but it won’t send the link to an active email address. I no longer have the email I used way back when I made this account. There appears to be an option if you “no longer have access to these” but nothing happens when you press this. Additionally there is no customer support to assist or any helpful option to help regain access to an active account. No wonder everyone hates Meta platforms and prefers newer, better social media like TikTok. What a joke of a company. Would give 0 stars if it were an option.",What a joke of a company.,-1
34,"Ever since the last update, when I open this app on iOS (16.5), FB App keeps telling me I’m Offline and to Check Internet Connection.  I am NOT Offline and my Internet Connection is high speed.  These pop ups are driving me crazy and they shouldn’t even be popping up at all.",These pop ups are driving me crazy and they shouldn’t even be popping up at all.,-1
35,"Facebook is such a terrible platform. Their lack of customer service is repugnant. I’ve sent countless emails after my personal and business pages were hacked and have not gotten a reply to any of them. Their excuse is they don’t have enough staff to handle the amount of questions and concerns they receive daily, yet when it comes to fact checking there’s plenty of people to handle that. Their help center is just a circle of continuous “try this” but with no avail. Meanwhile some idiot is posting under my account and there’s nothing I can do about it besides continue to report them which is redundant because Facebook won’t do anything to put a stop to it. Do better.",Do better.,-1
36,"The general layout and functions of Facebook are atrocious. You should be able to click on replies to your comment and be directed to the original comment and your apply (like Instagram, which is literally managed by the same company now). There’s really no excuse when your other app, while having less features, runs those features a million times better. Trying to access your profile on the mobile app is ridiculous too. I have tried to update my info dozens of times on the app it’s never worked- sometimes it doesn’t even work when I do it off of my laptop. I like the feature where you can add your college, high school, current work place, etc, but maybe make it so that way those features are actually usable. I go to one of the top 10 biggest universities in the US and I can’t even add my university- how do we have 25,000+ students and yet my university isn’t an option?? I also think the reels feature is very sloppy, especially with the fact that you can view Instagram reels but can’t interact with the content from Instagram at all. Awful integration between the two apps.",Trying to access your profile on the mobile app is ridiculous too.,-1
37,Facebook… I got it years ago. It’s how I let people know how I am doing. It how I talk to people with a rare medical issue I have but since I refuse to have it on my phone I can’t log in 90% of the time. Come on?! So let’s force you to do what we want or force you to not be able to even talk to others.,Come on?!,-1
38,The complaints that y’all have about Facebook it’s like that from the people using it not the program because when y’all do something and they banned you your upset but that’s them keeping the app as safe as they can smh learn to take responsibility for your own actions,The complaints that y’all have about Facebook it’s like that from the people using it not the program because when y’all do something and they banned you your upset but that’s them keeping the app as safe as they can smh learn to take responsibility for your own actions,0
39,"The only reason I remain on Facebook is to connect with old army buddies. I rarely post anything and it’s never something shared. A few days ago, Facebook kicked me off and I had to verify who I am. Weird but I didn’t really think anything of it. Last night I went to click on the comments on an article and I was sent to a page that informed me that I have been locked out of my account for possibly going against community standards. It allowed me to disagree and now I have to wait for it to be reviewed. There was no explanation whatsoever. The “community standards” that they push are such a joke anyway. I reported a picture that literally had a naked woman holding her breasts but was told that it didn’t go against their standards. I really just want my account unlocked so I can let my friends know how to reach me before I completely delete this trash.",I rarely post anything and it’s never something shared.,-1
40,"The Support. Inbox has been broken for months. Any option chosen for reports in the Inbox will not open. They just freeze in the opening mode. This makes it impossible to go through reports. Also, my feed is the same thing for days. Nothing new. Why would I want to see posts from days ago, instead of new ones?",Nothing new.,-1
41,"What happened to the easy access of logging out?!?? I noticed that ever since I connected one of my ig accounts with my fb accounts, the function to connect to my other fb accounts was no longer there. Now I have to delete the app and redownload if I want to use other accounts…",Now I have to delete the app and redownload if I want to use other accounts…,0
42,"Cyber bullying kills and Facebook does nothing to prevent it. Tons of obvious threats, telling people horrid things, spamming hateful memes, and ongoing harassment is being ignored especially when it is targeted at transgender people. These people will make multiple spam accounts to continue their attacks on those just trying to live their lives. Please, at the very least, allow people to block multiple accounts from the same person like Instagram does.",These people will make multiple spam accounts to continue their attacks on those just trying to live their lives.,-1
43,"For some reason I was on Marketplace selling lots of things everyday, then next thing I know out of the blue the Banned my account saying I went against community standards, I don’t know how all I was doing was selling Items. So I made new account and I post one thing it’s ok then I post another it blocks me this is real crazy bipolar !
 I guess I’m so bad for selling coffee pots they got to ban me off marketplace lol",So I made new account and I post one thing it’s ok then I post another it blocks me this is real crazy bipolar !,-1
44,I loved Facebook and the new Facebook dating feature but recently it takes forever to load it’s not working keeps say (error query) and then it deleted my whole dating  profile so I had to recreate it lost all my messages and now if I match with some one I don’t Receive any messages I’m unable to view them and it’s really getting annoying this has been going on for a full 48 hours come on Facebook get it together and fix this ASAP!!!!!! NOT SO HAPPY ABOUT THIS,NOT SO HAPPY ABOUT THIS,-1
45,"At this point, Facebook is no more than a way to stay in touch with faraway family, friends, and people we’d really rather not (thinking of you, Deborah). Its parent company, Meta, is an amoral, data-harvesting, election-meddling monopoly with as little sex appeal as its reptilian founder. Recent layoffs are palpable: twice in one week I’ve had my posts removed for sharing art exhibitions featuring nudity. Once upon a time, I could appeal that, but not anymore. All hail our AI overlords. If you’re not a part of it already, no need to join now.","Its parent company, Meta, is an amoral, data-harvesting, election-meddling monopoly with as little sex appeal as its reptilian founder.",-1
46,"Scrolling through my timeline with my phone brightness all the way down and in night mode, got blinded by the first reel video to pop up because it’s BRIGHTER than everything else on my screen. I didn’t click on the reel, I was scrolling through my timeline. Then BAM bright window of someone’s lame video just on my screen. I hate the fact that the reels even are on my timeline in the first place. But now they seemed to have “highlighted” them by making just the first video in the queue’s brightness brighter than the rest of my screen. That’s headache inducing and just annoying. I can’t even turn off the option. I won’t be using fb until that is fixed. My eyes are sensitive to screen brightness. I always keep my settings on low as possible, during all parts of the day.",But now they seemed to have “highlighted” them by making just the first video in the queue’s brightness brighter than the rest of my screen.,-1
47,"Whatever you “fixed,” please change it back.  When trying to comment on a post, I cannot see what I’m typing.  If I need to go back and edit, it’s impossible to do that.  Also, you still haven’t fixed the problem with reels or some videos.  If I try to watch something, it takes me to a completely different and unrelated video.","Also, you still haven’t fixed the problem with reels or some videos.",-1
48,"Facebook it’s time for you just to go away. You keep screwing with everything and it is absolutely horrible. The ads are ridiculous. Every other post is an ad. 
I can’t see my groups anymore unless I search and go to that page. Notifications stay on the same ones for days at a time. 
I have deleted the app multiple times in hopes it would reset it but no luck.",You keep screwing with everything and it is absolutely horrible.,-1
49,"Almost everyone of my friends has posted their Avatar. I do not even have the option and there has been many updates since then. 
I’ve updated my Facebook when there is an update, I feel that it doesn’t update though. When I see create an avatar from someone else’s post it states to update Facebook, but there’s no update, ugh!",I do not even have the option and there has been many updates since then.,0
50,"The amount of time I have to spend muting various groups and ads that Facebook “suggests” I follow is beyond obnoxious and makes the app unbearably tedious to use. I just want to see what friends and family are up to, not what food some dude-bro weightlifter is rating, or some movie clip that doesn’t share the title of the film it’s advertising to me, or random comics with boomer humor. Please stop with all the spam, I’m like seconds away from deleting your app!","Please stop with all the spam, I’m like seconds away from deleting your app!",-1
51,"I have to use Instagram and Facebook to promote my business, and when I logged on today to schedule a post on the app, I realized I can’t anymore! now I have to download a separate app, Business Suite, to schedule my future post. this wouldn’t be a problem, if it would let me choose the layout of the photos, the same it does on the app! Meta is a sorry excuse for a company, and Instagram is going downhill too. get it together!","this wouldn’t be a problem, if it would let me choose the layout of the photos, the same it does on the app!",0
52,"Although it could use a couple changes, it still helps us a lot. Thanks face book!",Thanks face book!,1
53,"I got locked out of my dating profile and it’a asking me to fill in all of my info again and when I try to continue it says “ Query Error
Error performing query.”

So now all of my potential lovers are lost forever. Thanks for stealing those chances from me. 

Literally the worst app ever. Constantly changing/trying to make the app better when you’re actually tainting it more and more with each ill advised decision by whoever is the moron or team of morons worsening Facebook and Instagram doing this. Well let’s be honest, Facebook is now for the dying generations with one way thinking or are simply too old to download/learn how to use the newer platforms because they have become relics. 

Insta was ruined the day you broken people bought it and poisoned it. Busted apps being ran by busted people. 

No need to go further into detail about a dumpster fire. It’ll burn into a crisp eventually. Bye, Meta 😘",Constantly changing/trying to make the app better when you’re actually tainting it more and more with each ill advised decision by whoever is the moron or team of morons worsening Facebook and Instagram doing this.,-1
54,"Every time I use marketplace after about 5-10 minutes it crashes. Then every couple of minutes it crashes and sometimes even reboots my iPad. It’s very frustrating to try and use an app that constantly crashes. Facebook itself I don’t know if it crashes or not, I absolutely hate Facebook and never use it, too much drama. Marketplace I use all the time and have to put up with constant crashes. I hope Elon takes over and straightens this garbage out. Zuckie isn’t doing squat to improve this dinosaur. You can do much better if you only tried!",Marketplace I use all the time and have to put up with constant crashes.,-1
