,review,sentiment
139,"Toko nya bagus-bagus, rekomendasinya ok-2👍🏻",1
141,"belanja online , tokopedia aja, ga ada barang yang dijual disini. semua nya ada thx tokopedia",1
143,Transaksi mudah. Free ongkir selalu ada.,1
144,Masa simpan history kartu kredit harus bayar 10rb,-1
145,"jumlah item harga tertinggi dan terendah nggak sama, dan kupon cashback dan free ongkir makin pelit, bagusan shoope dari Tokopedia sekarang 👎",-1
147,Selalu memudahkan 🫰🏻🫰🏻,1
150,pakai tokped buat belaja mulai dr yg high end sampe perintilan. emang kadang sebel CS gak ada nomor tlpnya. tp semenjak sama Jack Ma kayaknya respon CSnyabmakin cepet nih. keep up,1
155,Udh terbantu bgttttt sm aplikasi ini buat org yg super mager ky gue hahaha...thx tokopedia,1
156,"Memudahkan untuk belanja online, mantap",1
157,"Namanya juga system suka ada saja error nya dan d benerkan jangan kasi masukan terus tp sering errornya d banding toko sebelah
Dan untuk komplain toko karna penipuan jangan terlalu susah, karna sy baru transaksi dengan TOKO penipu, semoga tidak ada lg yg kena tipu, belum d report tokonya karna ribed pilihannya.",-1
160,"Saat tanggal tua & ada kebutuhan untuk bayar tagihan pasca bayar terselamatkan dengan adanya promo diskon bayar tagihan,,, Lumayan dapat potongan 8k,,, Jadi tinggal bayar sisanya 😁🤭,,,, Go coins juga bisa dipake lhooo,,, pernah bayar tagihan PDAM 93k dg GoCoins,,,tidak keluar duit sama sekaliii 😊 Makasih banyak Tokped 👍🏻👌🏻😘",1
161,mantaf.. tapi bisa lebih besar nggak limitnya✌️😅,1
163,Aplikasi mudah penggunaannya,1
164,Aku cinta marketplace Indonesia!,1
165,Selalu ada voucher sangat mantaaap,1
169,"Harusnya 5, karena ada biaya layanan seribu rupiah dan duaribu rupiah jadi 3 cukup yah. Bagusnya sperti dulu gada penambahan biaya. Makin kesini makin ke aplikasi orange",-1
170,Barang2nya lengkap dan memudahkan penjual dan pembeli langsung berinteraksi.,1
173,Lancar aplikasinya,1
176,Akhir2 ini kalau masuk kok selalu tidak ada internet,-1
177,Cashback promo dan bebas ongkir. Harga baik dibandingkan yg lain. Searching produk terasa tdk dibatasi utk mengambil pembanding harga.,1
179,Banyak metode bayarnya.,1
180,"Dear Tokopedia Pas selesai di update malah ga bisa kebuka Memory nya udah di kosongin, di uninstall, terus di reinstall tetap ga bisa kebuka Tolong bantuannya",-1
181,Terima kasih telah memudahkan,1
182,"Browsing produk-produk di App rasanya slow sekali, padahal ini iPad Mini 5, masih belum bisa dibilang terlalu tua lah hardwarenya. Please update and make it better!

Saya sudah matikan fitur-fitur semacam shake-shake & otomatis video berjalan, namun tetap sama.",-1
185,Makin banyak free kngkir nya sy makin betah. Terutama pelayanan cs nya,1
188,Banyak Cashbacknya,1
189,Banget,1
190,"Aplikasinya mantap dan tanpa ada kendala, mudah2an barang yg dipesan jg cepat",1
192,Secara umum sudah baik namun pada ios kadang button cartnya susah diklik,-1
193,Tokped tidak ramah bagi pembeli. Regulasi untuk pengembalian ramah menyulitkan pembeli. Komplain barang jg tidak digubris.,-1
194,Ramein guys. Aplikasi karya anak bangsa. Jangan mau dijajah sama orang luar cuma diiming-imingi promo.,1
195,Pokonya bintang lah yg berbicara,0
197,Memudahkan setiap transaksi,1
199,UwU nih bagus banget,1
200,"Aplikasi yang sangat membantu dan mencerminkan kemajuan teknologi yang sangat baik untuk membantu memudahkan aktivitas masyarakat masyarakat generasi millenial yang ingin semuanya serba instant, mantabb",1
202,Mudah diakses,1
203,banyak cashback,1
204,Lancar dan praktis aplikasi nya,1
205,Murah dan Meriah,1
206,"Mantab sangat membantu, online shop selalu paling di pakai diantara aplikasi yg lain",1
208,Isi emoney 100k pembayaran berhasil tapi gak terupdate,-1
209,Banyak diskonnya dongg buat belanja elektronik membantu sekali udah beberapa kali beli barang pake diskon atau Cashback di tokped 😍👌🏻,1
211,Alhamdulillah mantap,1
212,"Aplikasi andalan utk bayar tagihan, pulsa & beli barang impian",1
213,Sip. Semua barang ada.,1
214,Mudah transaksi ap pun yg kami butuh kan… 🙏🏻🙏🏻🙏🏻,1
223,Aplikasi di Hp lumayan bagus. Tapi di computer Tokped susah sekali. Sering error di Apple,-1
227,Sll Puas bgt,1
230,Bawang diterima sesuai denganpermintaan ...terimakasih.,1
231,Tolong di perbanyak merchant yg kualitas bagus,1
233,mantul,1
234,"dah sedikit paham cara pakainya, cuma perlu sering dilatih",1
237,"Selalu Banyak-Banyak Promo nya biar yg lain bengong.hehehehehehe
Salam Sukses Selalu TOPED",1
238,Sering-sering kasi kupon untuk top up dan tagihan yah,1
243,Sangat membantu saat waktu terdesak,1
244,Biaya Rp 500 per transaksi saja lebih dari cukup,1
246,Belum pernah mengecewakan,1
248,Brand online shop ter baik dan ter banyak hadiah cash back,1
249,Mudah! Tdk perlu ke ATM,1
250,Puas banget,1
251,Sampai saat ini good,1
253,banyak diskon & bebas ongkir tambah konek dgn gopay/pay later makin mantab,1
254,Puas,1
256,Sampai sejauh ini nyamanlah pake Toped👍 Hampir ga ada masalah! TQ,1
257,Lumayan puas dgn tokped tp semakin kesini banyak biaya tambahan,1
258,"Barang yg dijual bagus,dan terpecaya",1
259,Sesuai dengan harga sip barangnya,1
260,Barang bagus dan cepat sampai,1
261,Paling nyaman belanja di tokopedia bisa dapet gratis ongkir dan sekarang pilihnya salah satu aja cashback atau gratis ongkir,1
262,Segalanya ada di.... toko pe dia *bacanya jangan sambil nyanyi ya*,1
264,Masih ada sisa 4 gratis ongkir tp stiap check out ga bs dgunakan dgn alasan kendala pd gratis ongkir.,-1
266,Mudah bertransaksi dan aman.. banyak promonya..,1
267,Mantab,1
268,Pembayar bagus lancar,1
269,Mantaps,1
270,Mantap cepat,1
271,mantap bnyk cashback,1
272,Semua ada di jempol anda,1
273,Tokopedia membantu usaha online saya🙏 semoga semakin mempermudah para pelaku UMKM seperti saya😍,1
274,Murah apik,1
275,Simpel dan cepat 👍 Cuma saat memasukan alamat baru agak repot karena ada fitur lokasi sekarang agak susah input alamat secara manual dan lokasi yg terintegrasi dengan pin di google map (Jika pake aplikasi),0
276,Kalau barang yang sudah terjual atau barang yang tidak stocknya bisa dihapus dari search,1
277,Bagus sejauh ini belum ada kendala pakai tokopedia,1
279,Aplikasi ini sangat membantu untuk langsung komunikasi ke penjual nya...,1
280,Selalu belanja dan banyak puasnya,1
283,Banyak promo yang menarik,1
284,Ganti pengirim,0
285,Mudah prosesnya dan tokonya bisa dipercaya,1
286,Smoga tetap jaya selamanya,1
288,"Terpercaya, mudah, cepat dan gampang.",1
289,"walau tidak ada promo yang cendrung menipu, tokopedia memberikan harga pasti tanpa menipu seperti aplikasi yang lain. aplikasi lain sering adakan diskon, tidak tahunya harga setelah diskon sama saja dengan harga di tokopedia tanpa diskon. semoga tokopedia makin jaya.",1
291,Luar biasa murah,1
292,"semua terasa mudah ,yg jauh terasa dekat",1
294,Artinya bagus,1
296,Aplikasi bagus,1
298,Bayar toped pakai gopay gak pakai ribet,1
301,👌👍👍👍 Gratis ongkirnya ditambah dong,1
302,Barang sesuai deskripsi dan pengirimannya cepat,1
307,Belanja online terpecaya ya Tokopedia,1
308,Algoritma pencarian produk perlu diimprove lagi,-1
309,kembali,0
312,sudah beli beberapa kali dan selalu memuaskan trusted!,1
313,Semoga barang yg dikirim kualitas bagus (original philips) dan dibungkus tebal agar tidak cacat,1
314,Muantab..👍,1
