,content,sentiment
0,"Meresahkan. Iya sih promonya menarik, tapi kurirnya ga bertanggung jawab semua. Udah 3x beli ditokopedia pengirimannya sangat lama bahkan ga sampai. Bayangin aja beli sameday datengnya 4 hari kemudian, kurir sicepat dan anter aja yang ga mau anter paket sampe rumah. Maunya didepan gang aja, pdhl kurir lain dtg sampe rumah. Next tolong tokped bikin opsi ubah kurir kayak shopee. Jujur kesel aja zonk mulu beli disini, mana refund uangnya lama bgt hampir 3 hari.",-1
1,"Di tingkatkan lagi informasi pelacakan barang saat di kirim.. iya kita mengerti dengan sistem estiminasi. Tetapi yang minimal beri informasi barang lokasinya dimana. Walaupun masih di tempat pengirimnya, paling minimal beri informasi. Informasi saja sudah cukup.. di tingkatkan lagi yang tokped.. Tokopedia aplikasi hebat",0
2,rewel di tagih terus kaya bocah .satu hari.lambat denda nya 50k.edan raja rentenir ini mah,-1
3,"Kurangin bintang lah,biaya aplikasi naik",-1
4,"suka sama paket belanja 10K dari tokped, semoga makin sukses dan jadi ada paket 20K",1
5,sangat memuaskan,1
6,sangat membatu terima kasih Tokopedia 🙏🙏,1
7,terimakasih promonya.,1
8,sangat membantu ✨,1
9,sangat membantu,1
10,"Aplikasi yang memaksa untuk pembaruan. apabila tidak dilakukan, maka tidak bisa melakukan transaksi. Akhirnya saya memilih untuk ganti marketplace lain untuk belanja.",-1
11,tidak sebaik dulu,0
12,"Pelayanan cepat, tepat, dan terarah.",1
13,Terlalu sering di update aplikasi,0
14,"Fitur Pencarian produk tidak maksimal, produk yang tidak di cari malah muncul",-1
15,"Gratis ongkirnya jadi naik, harus minimal pemebelian diatas 20rb... Terus jadi ada biaya jasa aplikasi, padahal dulu ga ada... Lebih enakan yang 1 tahun lalu",-1
16,Kurir anteraja sameday 2 hari ga sampai..takedown saja itu anter aja ga jelas pengiriman nya,-1
17,Force open apk ganggu bgt,-1
18,"Dulu suka belanja di toped full gratis ongkir, lama2 bisa tinggalkan toped padahal mambernya udah mau silver",0
19,"belanja mudah,ramah dan banyak hadiah hanya di...Tokopedia",-1
20,yaaa lumayan lah... agak banyak biaya ini itu skrg yaaa...,1
21,"Tolong dong kenapa paket saya di tokopedia sudah sampai tapi barang nya tidak ada,foto yg di cantumkan kurir di karawaci sedangkan saya di kalideres,gimana ini bantuannya?",0
22,"Untuk upgrade terbaru, ko gambar nya tidak muncul ya???",-1
23,Tidak bisa kirim foto sudah di update pun sama aja,0
24,"hemat gak ribet praktis,kadang kadang sebel gak pas dihatiiiiiiiii......",0
25,pembelian nya sangat mudh,1
26,"Belanja puas, gak bingung milih, toko terpercaya. Mantull",1
27,"BLIBLI Tanpa biaya Apapun, banyak casbac dan gratis ongkir. PILIH YANG MENGUNTUNGKAN, JANGAN HIRAUKAN ORANG BILANG #maunya gratisan#, yg jelas belanja itu cari yg murah, dan menguntungkan. saatnya tinggalkan yg merugikan. beralih yg menguntungkan.",0
28,"Adminnya tidak kompeten tidak melayani dan memberi solusi ketika kami komplain, toped sudah tidak seperti dulu, beralih ke yang lain dlu, toped mengecewakan",-1
29,Gile bener .... parah sekarang biaya biaya bukannya dihapus malah semakin bertambah mahal.....mahal. Inilah yang pada akhirnya kita khawatirkan monopoli kebijakan sepihak dari aplikator online.,-1
30,Skrg ada biaya app males belanja online lg,-1
31,Mantap terus diberikan gift2 yg bagus ya min,1
