content,Pelabelan,label
Mantap,positif (1),0
Bagus nyaman berguna,positif (1),0
Knp gak bisa di buka,netral (0),2
Ok,positif (1),0
tap mantap tul mantul,positif (1),0
lengkap terpercaya,positif (1),0
Cukup membantu,positif (1),0
"MAU PUTUSIN AKUN DANA AJA RIBET BANGET ANJ***. MAU DIGANTI EMAIL RIBET JUGA. KALO EMANG HARUS PAKE FOTO KTP.. Ya bikin cara lain juga lah, misalkan buat yang umurnya dibawah 17 tahun kan belum dapet ktp. Bikin lah cara lain mungkin pake ktp orang tua ini ngga. HADEH masalahnya cuma ini doang apk yang bisa top up dana di indomaret",negatif (-1),1
Tetap konsisten.. Tanpa ada jasa layanan danntrtek bengek lainnya,netral (0),2
is the best,positif (1),0
Good luck for Bukalapak,positif (1),0
Mantap,positif (1),0
Buka lapak apk yang sangat bagus,positif (1),0
Good,positif (1),0
Sangat mambantu,positif (1),0
Aplikasi yang sangat bagus dan membantu. Respon cepat dan sangat memuaskan bisa menggunakan aplikasi ini ðŸ‘ðŸ‘ðŸ‘,positif (1),0
"ongkirnya mahal, barang gad 1kh bisa 2 x lipat obgkirbya",negatif (-1),1
Ok,netral (0),2
"TopUp saldo dana 3jt gak tau knp kirim otomatis ke bukalapak, truss dompet nya di bekukan, sudah 7hari nyuruh dengan cara ini itu gak ada hasil, padahal gak ada transaksi yang aneh tiba"" di bekukan, aneh bgt Tau gini mah gak pake bukalapak 3jt bukan nominal yang sedikit maen di bekukan aja secara sepihak di email pun gak ada balesan lagi",negatif (-1),1
"Sudah di bayar sebelum jatuh tempo paylater, Malah di bekukan.. Limit dari dulu tdk naik,yg ada malah di bekukan. Tidak bisa di percaya ini aplikasi. Mode COD ada biaya tambahan sebesar Rp 10.000,Aga males belanja nya juga",negatif (-1),1
"Jualan duit nya di tahan 2 hari, aplikasi tidak bermutu! Pantes aplikasi ini skarang kalah dengan aplikasi shoope dan tokopedia.",negatif (-1),1
sangat membantu,positif (1),0
Ok,netral (0),2
Bgs lebih d tingkat kan lagi itulebih baik.,positif (1),0
Buka lapak makin OK..,positif (1),0
"Gak jelas systemnya, kalo udah gak bisa berikan pelayanan tutupin aja aplikasinya, daripada buat pelanggan kecewa terus, Masa kurirnya gak ngirim barang ongkirku dipotong cuma uang barang dikembalikan ongkirnya entah kemana? Udah pake bukabantuan live chat bukan cuma sekali tetapi memang tidak ada jalan keluar dari permasalahan tsb",negatif (-1),1
"aplikasi belanja pembelinya gaib semuaðŸ˜, untuk meningkatkan penjualan mereka mengajak orang2 buat menambah barang ke keranjang tanpa membeli supaya barangnya terlihat laku",negatif (-1),1
Oke,netral (0),2
Makin mantabzz,positif (1),0
keren,positif (1),0
Oke dan membantu,positif (1),0
Jelek,negatif (-1),1
Apk Lemot betul,negatif (-1),1
Thebest,positif (1),0
barang yg tersedia komplet,positif (1),0
Wokeh,positif (1),0
"Bukalapak tidak bisa pembatalan pemesanan...saya sudah tertipu 500rb dari Toko Store777...saya kecewa,saya rugi total dan tidak ada respon dari bukalapak atas kejadian ini...bukalapak tidak bisa di percaya lagi",negatif (-1),1
Lengkap komplit dan terpercaya Bnyak promo2 nya.buktikan saja,positif (1),0
Aplikasi merugikan Kita bayar gk pernah telat malah paylaternya dibekukan,negatif (-1),1
Kasih bintang 5,positif (1),0
Sangat mudah dan membantu sekalii ya,positif (1),0
Ga bener paylternya ada biyaya proses segla lazda ga pernah pke tuh udahmah brang mhal .mkin ga jelas deh,negatif (-1),1
Terima kasih,positif (1),0
Mudah dan bagus,positif (1),0
Mantap,positif (1),0
Sangat membantu,positif (1),0
Ok,netral (0),2
Ok keren,positif (1),0
Ok mantap,positif (1),0
Mantap..,positif (1),0
Nice,positif (1),0
Rekomen belanja disini,positif (1),0
Mudah Tidak ribet,positif (1),0
Good,positif (1),0
Buka lapak brengsek ...uang ku tidak kembali ..jangan download atau pesen barang ..baru 15 menit censel hub pusat bantuan ...katanya uang tidak bisa di kembalikan ....buka lapak brengsek ..semoga anak cucu ya cacat semua buka lapak,negatif (-1),1
Lumayan bermanfaat,positif (1),0
