,review,sentiment
899,Terima kasih banyak,0
540,Selalu menyenangkan berbelanja di Tokopedia,0
877,Puas banget proses nya mudah tidak ribet,0
881,"Kebanyakan pembeli mengeluhkan dengan biaya administrasinya yang tinggi, terutama dengan adanya biaya aplikasi sebesar 2000",1
879,Solusi jelek banget dan memaksa👎👎👎👎👎,1
380,"Harga Produk sangat bersaing (termasuk salah Satu Aplikasi Online yg termurah), Variasi Barang sangat banyak dan Beragam serta Fitur Pencarian sangat mudah, Banyak Program Diskon dan Voucher setiap Bulannya, Fasilitas Pembayaran juga beragam dan bisa memakai Dana yg didapat (Ovocash, Ovopoint, Gopay, Gocoin)..., dan Fasilitas Pengiriman bermacam-macam !... Ada Free Ongkos Kirim juga... Pokoknya merupakan Program Toko Online paling Favorit saat ini !!!... 👍🏻👏🏻👏🏻⭐️⭐️⭐️⭐️⭐️",0
484,Tokopedia terbaik di Indonesia! Follow Now Stationery untuk keperluan alat tulis kantor dan kebutuhan sekolah putra putri anda.,0
671,"Harga sesuai dan terjamin aman sih, pengalaman gapeenah telat kirim2 paket",0
878,Aplikasi mudah digunakan dan banyak promo menarik 👍,0
1020,Bagus dan mudah banget,0
696,"Fitur2 nya OK dan memuaskan, thankyou Tokopedia",0
769,"Mudah digunakan, respon cepat, and cepat dalam memuat. Sebenarnya pop-up klaim voucher sedikit mengganggu",1
262,Segalanya ada di.... toko pe dia *bacanya jangan sambil nyanyi ya*,0
837,"Paket belum di terima tapi di aplikasi paket sudah di terima, sudah bertanya ke keluarga dan tetangga mereka pun belum melihat kurir yang bersangkutan, kurir di hubungi sama sekali ga ngerespon. Ga ada solusi dari reseller dan penanganannya butuh berhari-hari dalam pengembalian dana.",1
676,"Pemesan, pembayaran, pengiriman semua serba mudah",0
508,Aplikasi nya mudah digunakan,0
372,Gak perlu pusing nyari2 belanjaan dan keluar rumah..langsung di antar ke depan pintu dalam waktu beberapa jam..transaksi mudah hanya lewat transfer mobile banking..mantap 👍,0
411,Puas sekali dengan layanan klaim garansi…musah dan cepat.,0
556,Transfer ke rekening kita sendiri di Tokopedia tanpa biaya alias gratis dan cepat banget prosesnya. Uang langsung masuk ke rekening.,0
772,Super 👍🏽,0
358,Pembayaran pakai OVO rada ribet tapi akhirnya bisa. Krn OVO tidak termasuk pembayaran pilihan.,2
760,"Thank you Tokopedia untuk segala kemudahannya, keep up the good work!",0
644,"Banyak cashback dan ongkir gratis, jadi suka banget belanja disini",0
643,sampai saat ini belum pernah nemu kendala semoga seterusnya seperti ini,0
416,Selalu jadi aplikasi utama,0
730,Aplikasi andalan,0
634,"Belanja primer, sekunder dan tersier selalu nyaman di Toped 👌🏻",0
978,"pesanan sesuai, aplikasi yg memudahkan saya membeli segala keperluan",0
507,Aplikasinya sangat memudahkan.,0
629,Selalu puas belanja di Tokopedia,0
830,Keren pokoknya. Beda sama si oren🫣,0
177,Cashback promo dan bebas ongkir. Harga baik dibandingkan yg lain. Searching produk terasa tdk dibatasi utk mengambil pembanding harga.,0
741,"Service charge pembayaran dengan gopay sekarang semakin mahal, 2000 per transaksi. Naik terus naik terus 😩",1
246,Belum pernah mengecewakan,0
632,Sementara bermanfaat. Terima kasih,0
955,Mantap!,0
740,Terbaiklah pokona mah 👍👍👍👍👍,0
971,Simple dan Aman,0
442,Baik sekali,0
188,Banyak Cashbacknya,0
992,Cepat sekali jualah dsini.. thank tokped,0
211,Alhamdulillah mantap,0
699,Udah lah bagus banget,0
