,content,sentiment
29,Gile bener .... parah sekarang biaya biaya bukannya dihapus malah semakin bertambah mahal.....mahal. Inilah yang pada akhirnya kita khawatirkan monopoli kebijakan sepihak dari aplikator online.,1
535,Tuh yg pulsa Indosat gimana yg promo pulsa knpa gk bisa bisa bisa pas pembayaran tolong di bantu min knpa gitu saya udh melakukan berkali kali,1
695,"Benerin sistem keamanan,bnyak hacker merajalela",2
557,Kebanyakan biaya layanan,1
836,"saya pengguna lama toped, sejak toped masih pake sistem transfer langsung dengan ditambah nominal unik d setiap transfer pembelian. tapi semakin kesini semakin ga nyaman pake toped! gratis ongkir min transaksi 20rb cuma ada di wilayah yg sama aja. biaya asuransi yg ga bisa d non aktifkan, msh kena biaya pelayanan dan masih d tambah lg biaya apk yg ga jelas! belum lagi gratis ongkir yg min pembelian 50rb gak sepenuhnya gratis! msih tetep kena ongkos, krn di seting dengan biaya kurir yg mahal!",1
596,nyesel download ini. sering d batalkan setelah pembayaran. klo emg mau d batalkan sblm tf. trs sldo nanggung gtu buat apa?,1
165,"Halo, kenapa saat saya mau melihat foto ulasan dri sebuah produk kok harus download ulang aplikasi ya, mohon bantuannya. Terimakasih.",1
918,mntap,0
495,Dulu suka banget sama tokped tapi sekarang banyak banget biayanya dari mulai biaya layanan dan biaya jasa aplikasi niat hemat mau belanja online tapi sama juga boros.,1
824,Kenapa ya saya upgrade lg tokopedia nya gak bisa?gak jelas bngt.nyuruh upgrade malah gak bisa lagi,1
65,"Sedikit promo,ada biaya layanan mahal,maksa pula buat update aplikasi",1
141,Tokopedia memang josss...mantaps,0
925,"itu event TUKER TAMBAH nya pke aplikasi apa sih,SADIS GILA,HP sy baru seminggu udh di harga in 950, woi VIVO T1 5G ne,bkan hp lokal,gila,udh,mending putus mitra aj,tokopedia sm aplikasi gila tersebut,sy iseng"" pengen tw harga hp sy,pas di tes,....WaW amazing,GILA LU NDRO.",1
827,Bagaimana mau bisa pakai payleter...verifikasi buat orang yg ga krj kantoran ga bisa...kuli kok harus pnya no tlpn kantor...nama prusahaan...ribet bagi orang yg ga krj kantoran...tak kasih full bintang...biar senang,1
655,Aplikasi sudah ok tapi kesininya ko sering eror ya,1
331,Soal voucher kenapa akun saya ini tidak pernah dapat voucher ongkir? Sekalinya dapat.. giliran di pesan tetap aja bayar lebih mahal ..hadeuhh Kalau gak pake ceria ceria paylater.. gak akan saya pakai apk belanja ini🤦😤,1
664,aplikasi mudah tapi saran nya ketika ada promo cashback dan gratis ongkir bisa pilih 2 promo.,0
249,Dichek out biaya sudah jelas 56.500 eh ternyata di invoice jadi 59.500 ada biaya aplikasi. Diminta kurir 60.000. Lah parah amat ini tokopedia jadinya. Bukan masalah nominalnya tapi kejelasan biaya dari awal. Chek out itu penting. Jangan cuman ada di invoice. Lagian kenapa juga ada biaya aplikasi lgi. Katanya itu kadang sudah dipotong misal pendapatan penjualnya.,1
907,"Update terus gagal, update lagi terus gagal ini appnya sy update corrupt ya?",1
708,"Sudah sangat jarang ada voucher gratis ongkir, banyak biaya tambahan",1
305,"Biaya ongkir mahal,, skarng ga sesuai dgan nilai barang atau berat yg kita beli..👎👎👎👎👎",1
734,Makin kesini makin mahal biaya admin penanganan diluar harga barang yg di beli sampe 4000 gk beres nih percuma bebas ongkir masih bayar lain nya selain barang...,1
975,Apk busuk saya udah langganan dari 2016 tapi akun keblokir tanpa sebab 👎,1
49,Terima kasih Tokopedia... transaksi selalu lancar....,2
896,tokopedia memang oke,0
2,rewel di tagih terus kaya bocah .satu hari.lambat denda nya 50k.edan raja rentenir ini mah,1
544,"Tokopedia Card Hilang, tanpa konfirmasi, alasan nya update System. Dan pengajuan saya ditolak. wkwkwkw....aplikasi lain lebih bagus. Ini aplikasi gagal. Dan merugikan. Uninstall aja Bro.",1
350,Aplikasi tidak bisa di download?,1
904,"Biaya layanan+biaya penanganan mahal kali, TOKPED makin ancur semenjak diakui goto 👎🏼👎👎🏼👎🏽👎🏾👎🏿",1
536,wow sangat membanggakan,0
344,Tokopedia saya kecewa,1
994,Gokil 😀 Hargana sama dengan toko sebelah Tapi ongkirnya hampir 10 kali lipat dari pada toko sebelah.,1
481,sangat puas berbelanja di toped,0
575,Gratis ongkir sulit dan via pembayaran cuma bisa gopay Gak semua orang pakai gopay Ovo dan dana biasanya di pakai,2
33,Sulit belanja di tokopedia gk ada cod,1
31,Mantap terus diberikan gift2 yg bagus ya min,0
231,"Cashback makin sedikit, gratis ongkirnya pelit, kebanyakan biaya jasa ini itu.. shopee aja jasa cuma 1000, msh masuk akal.. lah tokped 3000, uda kek bayar parkir mobil.. klo checkout di 2 atau 3 toko berbeda sekaligus, gratis ongkir cuma bs di 1 toko doank.. mending di shopee, mo checkout 10 toko berbeda sekaligus, gratis ongkirnya bs diterapin ke 10 tokonya.. tokopedia makin payah..",1
963,Pelayanan komplain sangat buruk. Bintang 1 yang pantas,1
192,"Bgus sihh cma trlalu bnyk biaya tambahannya. Gratis ongkirny jg gk smuanya. Terlalu bnyk biaya jasa, biaya app dsb",1
333,"Mudah2an dapat rezeki, a m i n",0
3,"Kurangin bintang lah,biaya aplikasi naik",1
204,"Pesanan bisa dibatalkan secara sepihak oleh Tokopedia jika pembayaran pakai rekening yang sama dengan akun lain, katanya promo tidak bisa digunakan padahal promonya cuma 20rb, buat ongkir sama biaya transaksi",1
514,bagus,0
799,"Lebih baik stop kerjasama dengan jasa kirim AnterAja. Karena sangat lambat, pengiriman melebihi batas estimasi.",1
306,"Mau bayar gopaylater, duit udh ada mau bayar tp ga bs ngebayar, gmn klo lupa atau keburu kepake duitnya aplikasi aneh. Orng udh niat mau bayar malah di suruh nunggu, lupa orang nanti malah kena denda. Betulin lg aplikasinya ga berkah lu makan duit riba",1
109,Not bad,2
430,"gopaylater udah rajin bgt bayarnya,tpi knp gk masuk saldo lagi.jadi nggk bisa digunakan.padahal sangat membantu pembayaran karna gk bisa keluar rumah",1
77,Aplikasi dengan Promo yg menjebak,1
84,di stasiun Bogor sinyal lambat sat transakasi online,1
286,"Alamatnya udh bener titiknya kenapa malah jauh banget ya .... fix harus diapus fitur titik nya itu, biar ga nyusahin",1
82,Aplikasi ga jelas..minta update tp selalu gagal,1
991,Oke.. Mantab. Belanja disini murah meriah.,0
789,Kupon khusus pengguna baru tidak bisa digunakan karena sudah transaksi padahal belum sama sekali tolong saya ingin kupon saya bisa digunakan,1
894,trimakasih,0
398,Kecewa parah!!!..promo gratis ongkir sampai 40k hampir punah..belanja min 20rb gratis ongkir hanya mitos!!..gimana dong makin kesini malah promo makin ampas gini..ayo dong toped berbenah balik lagi kaya dulu dong!!,1
323,"Toko online yg sangat bagus, cocok buat keluarga cempaka 👍👍",0
519,sangat menyenangkan berbelanja di tokopedia lengkap murah promo ongkir,0
916,"sangat buruk, refund sangat lama.. pesanan telah di batalkan, tapi malah di suruh bayar tokopedia card.. ngaco..",1
922,semoga makin sukses yah,0
5,sangat memuaskan,0
731,"banyak sekali yg perlu di bayar, dulu hanya biaya layanan saja, sekarang nambah biaya jasa aplikasi🥲",1
465,"Team Management sptnya ganti dgn kebijakan baru terlalu banyak biaya layanan, pdhal Fee Seller sdh lumayan besar kenaikannya, gk akan bertahan jka orientasi CUAN trus NRW TOKPED, Mending di blibli dan shopee skrang",1
97,"Tokopedia memang the best, kalau mau daganganya laku keras setiap menit, setiap hari, tolong di terapkan, voucher diskon toko, voucher cashback, voucher diskon Tokopedia dan harus free ongkir, pasti deh seluruh Indonesia pada cek out hanya di Tokopedia 💚💚💚",0
266,"Akun saya ga bisa menikmati diskon ongkir minimal 20rb di WIB lagi, entah kenapa semenjak bulan lalu, mengecewakan",1
357,Sangat membantu...,0
868,"Udh ongkir paling mahal di tambah uang parkir. Ntah buatan asli indo rata"" lebih mahal di banding produk luar negeri, ntah aplikasi at provider",1
798,puas,0
380,Waduhh total ongkirnya malah jadi lebih emang bener bener boros,1
631,Tokopedia Ribet Untuk Balikin Barang,1
381,"Berat anying aplikasinya , ,buka metode pembayaran Gagal(Promo Ilang) , , Bayar juga Gagal(Promo kedua Ilang) . . .pea nih aplikasi",1
490,"Persyaratan pinjam gak ribet, langsung cair paling lambat 24jam, limit juga selalu nambah jika bayar tepat waktu, tapi sayang bunganya mencekik.",2
118,Sy member platinum. Biaya aplikasi 2rb dan kebijakan lain yg terus menurun. Jangan salahkan pelanggan toped yg perlahan2 akan beralih ke aplikasi sebelah. Coba pikir ulang karena ini jaman persaingan. Trm kasih,1
900,"Platform paling pelit COD, di toko yang sama saja awalnya bisa,, belanja kedua di toko dan dengan alamat pengiriman yg sama malah ga bisa,, aneh! Kalah jauh ama si oren atau si biru",1
250,pesanan saya di gagalkan padahal udah dapat gratis ongkir 50.000,1
523,Lola saat di akses,1
9,sangat membantu,0
196,Terima kasih suda banyak membantu atau mebudakan saya untuk berbelanja,0
603,Promonya tdk seindah dulu,1
81,"Maaf saya skrg sudah tdk pakai aplikasi ini lagi pdhl dlu ini apk kesayangan saya . skrg biaya.a lbh mahal smpe 3rb hnya utk penanganan, pdhl klo saya pesan brng g ada pelayanan yg lebih /spesial dr naiknya hrga sama aja ky wktu itu grtis jd apa guna.a biaya tsb Msh byk apk blnja online yg bner2 murah & grts ongkir",1
783,Partner yg baik,0
587,"Saya turunin bintangnya karena pertama ada biyaya layanan semakin naik dari sebelah ok lah gak papa tapi ini kok cashback+gratis ongkirnya gak bisa digabung kaya dulu sih. Kembalikan seperti awal dong, padahal dulu paling suka toped tp sekarang gak dulu deh nunggu bisa digabung double voucernya lg",1
797,"Ngapain klo ada flashsale pulsa 100 RB harga 40 RB klo gak bisa d beli malah saldonya masuk k saldo Tokopedia ,trus klo mau d tarik kena admin rugi inimah,tarik saldonya lama lagi ,",1
239,"baru nyoba, blum tau hasilnya",2
290,aplikasi ini sangat bagus sekali,0
211,Sekarang gak ada WIB tokopedia pelit Apa sudah bangkrut yaaaa..... hahahaha,2
717,"Pengiriman nya lama, untuk jasa kirim nya dan status pengiriman juga gak selalu abdet.",1
359,"sangat baik, dan mudah",0
449,"Lambat penanganan komplain saya download aplikasi ini karena mencari aplikasi yang bagus dari yg orange, tp aplikasi sama aja, barang pesanan hilang, lama sekali penanganan nya. Prosedur sdh semua di lakukan, cuma jawabannya menunggu saja.",1
227,barang tidak tersedia di android...👎👎👎,1
950,"Duh tokopedia tidak sesuai ekspektasi barang yang di beli beda yang datang beda, mohon bantuan nya",1
946,"Tiap dibuka sering error, padahal sinyal kuat, sudah diupdate",1
796,sangat membantu,0
501,Mulai aneh,1
